user_id,timestamp,login_hour,session_duration_min,files_accessed,bytes_downloaded,email_count,suspicious_email_score,failed_logins,device_change,remote_access,location_change,keystroke_latency_mean_ms,mouse_entropy,label_anomaly,threat_level
user_0000,2024-12-19T23:00:00,23,79,14,20255019,0,0.1738,0,0,0,0,162.11,0.7701,0,0
user_0000,2024-04-11T03:00:00,3,30,12,29220637,0,0.0,0,0,0,0,166.91,0.6317,0,0
user_0000,2024-05-21T04:00:00,4,88,4,44920144,0,0.1418,0,0,0,0,184.38,0.9264,0,0
user_0000,2024-11-26T16:00:00,16,26,6,45840606,1,0.0803,1,0,0,0,58.92,0.4845,0,0
user_0000,2024-10-09T12:00:00,12,75,5,11522612,0,0.093,0,0,1,0,87.18,0.5106,0,0
user_0000,2024-08-21T05:00:00,5,45,9,28482124,1,0.0,0,0,0,0,199.71,0.5886,0,0
user_0000,2024-05-10T16:00:00,16,9,12,15025149,0,0.0,0,0,0,0,69.85,0.7434,0,0
user_0000,2024-12-09T23:00:00,23,56,4,29018328,3,0.1022,0,0,0,0,138.17,0.8443,0,0
user_0000,2024-11-10T10:00:00,10,70,2,10963888,1,0.0559,0,0,0,0,168.88,0.5243,0,0
user_0000,2024-12-04T06:00:00,6,14,8,6684445,1,0.0,0,0,0,0,144.53,0.7663,0,0
user_0000,2024-10-06T21:00:00,21,103,6,29197500,2,0.2748,0,0,0,0,233.44,1.0262,0,0
user_0000,2024-07-22T13:00:00,13,75,7,41112248,0,0.1132,1,0,0,0,108.23,0.5995,0,0
user_0000,2024-01-06T19:00:00,19,68,4,40604939,0,0.0,0,0,0,0,207.08,0.7733,0,0
user_0000,2024-04-07T09:00:00,9,20,3,3098904,1,0.0,0,0,0,0,152.6,0.6986,0,0
user_0000,2024-09-22T01:00:00,1,55,3,19597003,0,0.2245,0,0,0,0,114.37,0.7348,0,0
user_0000,2024-05-22T07:00:00,7,55,2,34289370,0,0.067,0,0,0,0,134.38,0.6823,0,0
user_0000,2024-12-08T05:00:00,5,79,5,47433833,0,0.0762,0,0,0,0,150.5,0.838,0,0
user_0000,2024-01-19T21:00:00,21,40,8,28092529,0,0.0,0,0,0,0,163.9,0.7373,0,0
user_0000,2024-07-30T03:00:00,3,69,2,47356015,1,0.071,0,0,0,0,144.73,0.5224,0,0
user_0000,2024-06-01T20:00:00,20,62,0,27650143,1,0.0916,0,0,0,0,180.47,0.628,0,0
user_0000,2024-05-22T15:00:00,15,14,7,22581876,3,0.0,0,1,0,0,152.25,0.8086,0,0
user_0000,2024-07-04T09:00:00,9,83,12,36348982,0,0.1613,0,0,0,0,167.0,0.5235,0,0
user_0000,2024-04-14T11:00:00,11,33,3,52704002,3,0.0,0,0,0,0,141.18,0.9936,0,0
user_0000,2024-09-22T02:00:00,2,114,7,4328138,3,0.0059,0,0,0,0,80.72,0.8431,0,0
user_0000,2024-05-18T21:00:00,21,24,5,11770894,0,0.0,1,0,0,0,54.37,0.4511,0,0
user_0000,2024-03-28T02:00:00,2,65,0,68918959,2,0.0378,0,0,0,0,177.74,0.5209,0,0
user_0000,2024-11-05T03:00:00,3,100,5,28834534,1,0.0882,0,0,0,0,164.09,0.6098,0,0
user_0000,2024-11-12T18:00:00,18,69,10,23047320,0,0.0907,0,0,0,0,242.36,0.6178,0,0
user_0000,2024-06-20T04:00:00,4,11,8,37560606,1,0.0,0,0,0,0,188.13,0.599,0,0
user_0000,2024-12-19T22:00:00,22,3,4,26471625,3,0.0,0,0,0,0,194.81,0.6353,0,0
user_0000,2024-05-06T01:00:00,1,4,5,24334815,0,0.0534,0,0,0,0,145.53,0.592,0,0
user_0000,2024-06-27T12:00:00,12,103,4,47953598,5,0.0809,0,0,0,0,137.86,1.0628,0,0
user_0000,2024-10-07T01:00:00,1,5,10,12967013,1,0.0726,0,0,0,0,180.44,0.3544,0,0
user_0000,2024-03-25T03:00:00,3,4,3,16814905,1,0.1187,0,0,0,0,148.62,0.8164,0,0
user_0000,2024-07-29T15:00:00,15,116,6,18855467,0,0.1107,0,0,0,1,170.53,0.8126,0,0
user_0000,2024-05-29T15:00:00,15,118,5,27527877,1,0.172,0,0,0,0,144.45,0.7163,0,0
user_0000,2024-06-08T02:00:00,2,43,8,1195554,0,0.0904,0,0,0,0,159.17,0.856,0,0
user_0000,2024-01-12T05:00:00,5,31,9,40043858,1,0.024,1,0,1,0,173.25,0.7615,0,0
user_0000,2024-05-18T19:00:00,19,12,6,23603224,0,0.0,0,0,0,0,164.52,0.873,0,0
user_0000,2024-03-31T18:00:00,18,69,9,37046311,0,0.0058,0,0,0,0,125.14,0.7688,0,0
user_0000,2024-09-09T09:00:00,9,48,8,8320828,2,0.089,0,0,0,0,126.42,0.2758,0,0
user_0000,2024-05-29T07:00:00,7,26,3,2741133,0,0.0,0,0,0,0,165.05,0.6916,0,0
user_0000,2024-09-11T15:00:00,15,90,6,18970918,1,0.0,1,0,0,0,135.22,0.8047,0,0
user_0000,2024-05-14T01:00:00,1,32,3,7287069,2,0.0252,0,0,0,0,187.24,0.7341,0,0
user_0000,2024-10-22T00:00:00,0,85,6,18192992,1,0.0,0,0,0,0,126.77,0.639,0,0
user_0000,2024-03-22T04:00:00,4,75,13,25383657,1,0.0,0,0,0,0,70.76,0.8772,0,0
user_0000,2024-08-05T07:00:00,7,90,7,31865438,2,0.0,0,0,0,0,198.31,0.7978,0,0
user_0000,2024-01-05T16:00:00,16,86,6,39023670,0,0.0339,0,0,0,0,123.67,0.7132,0,0
user_0000,2024-01-15T08:00:00,8,58,9,24124618,2,0.1983,0,0,0,0,187.74,1.1124,0,0
user_0000,2024-10-08T11:00:00,11,53,10,28343121,1,0.1175,0,0,1,0,192.13,0.5041,0,0
user_0000,2024-07-28T15:00:00,15,46,3,28318513,4,0.0,0,0,0,0,108.87,0.5362,0,0
user_0000,2024-04-29T08:00:00,8,69,2,22686780,0,0.0,0,0,0,0,145.48,0.784,0,0
user_0000,2024-12-01T16:00:00,16,114,7,66132236,2,0.0,1,0,0,0,115.76,0.7033,0,0
user_0000,2024-12-16T07:00:00,7,68,2,160631,1,0.0,0,0,0,0,165.86,0.7294,0,0
user_0000,2024-12-21T13:00:00,13,45,7,30755500,1,0.0497,0,0,1,0,115.94,0.4814,0,0
user_0000,2024-03-27T12:00:00,12,72,7,7942297,1,0.1456,0,0,0,0,157.26,0.7878,0,0
user_0000,2024-02-16T13:00:00,13,7,11,17575576,0,0.0852,0,0,0,0,67.12,0.8569,0,0
user_0000,2024-01-10T06:00:00,6,90,5,3614659,2,0.1173,0,0,0,0,155.75,0.8029,0,0
user_0000,2024-11-18T13:00:00,13,31,4,13473933,1,0.0,0,0,0,0,198.46,0.7115,0,0
user_0000,2024-11-13T05:00:00,5,16,7,9023852,0,0.0504,0,0,0,0,151.97,0.8995,0,0
user_0000,2024-03-18T15:00:00,15,43,1,17046051,0,0.0944,0,0,0,0,249.42,0.7741,0,0
user_0000,2024-12-06T05:00:00,5,3,3,24819914,1,0.0,0,0,0,0,102.99,0.6473,0,0
user_0000,2024-03-17T09:00:00,9,73,5,16990672,3,0.0,0,0,0,0,221.27,0.6485,0,0
user_0000,2024-03-19T18:00:00,18,97,3,17431935,1,0.05,0,0,0,0,217.83,0.5655,0,0
user_0000,2024-11-06T04:00:00,4,8,1,33818203,2,0.0396,0,0,0,0,148.55,0.9459,0,0
user_0000,2024-02-09T01:00:00,1,7,5,14153551,1,0.0557,0,0,0,0,191.58,0.4534,0,0
